player_id,Name,height_cm,weight_kg,score,rebounds,assists,steals,blocks,overall_hit_rate,three_point_hit_rate,offence_score,defence_score,overall_score,jersey_number,position,team,wages
63,J.J. Barea,182,83.9,10.9,2.5,5.6,0.6,0,0.401,0.254,77,72,75,5,PG,Mavericks,5
64,Dwight Powell,210,108.8,8.5,4.1,1,0.5,0.6,0.587,0.103,63,70,70,7,PF,Mavericks,4
65,Harrison Barnes,203,102,17.7,4.1,1.2,0.7,0.2,0.406,0.392,80,73,74,40,SF,Mavericks,4
66,Dorian Finney-Smith,203,99.8,7.6,4.5,0.8,1,0.5,0.453,0.357,66,66,64,10,SF,Mavericks,3
67,Luka Doncic,200,98.9,20.2,6.8,5.3,1.2,0.3,0.423,0.362,75,75,77,77,SF,Mavericks,5
68,Monte Morris,190,79.4,10,2.4,3.7,0.9,0,0.472,0.426,68,60,64,11,PG,Nuggets,3
69,Gary Harris,193,95.2,15.3,3.1,2.7,0.9,0.4,0.430,0.284,77,70,71,14,PG,Nuggets,4
70,Torrey Craig,200,97.5,6,4.2,1,0.5,0.6,0.422,0.225,57,60,61,3,SF,Nuggets,3
71,Trey Lyles,208,106.1,9.4,4.3,1.4,0.6,0.4,0.416,0.265,66,71,73,7,Sf,Nuggets,4
72,Jamal Murray,193,93.9,18.5,4.4,4.9,0.8,0.4,0.431,0.305,76,73,74,27,PG,Nuggets,4
73,Will Barton,198,86.2,12.3,4.8,3.3,0.3,0.6,0.416,0.454,72,62,77,5,SG,Nuggets,5
74,Juancho Hernangomez,205,104.3,8.3,5.1,1,0.4,0.4,0.433,0.355,61,66,65,41,SF,Nuggets,3
75,Mason Plumlee,210,106.6,7.5,5.9,2.6,1,0.9,0.614,0.021,70,70,70,24,C,Nuggets,4
76,Paul Millsap,203,111.6,12.7,6.7,1.8,1.3,0.8,0.462,0.273,70,78,77,4,SF,Nuggets,5
77,Nikola Jokic,213,113.4,19.8,10.3,7.7,1.3,0.7,0.487,0.312,81,80,80,15,C,Nuggets,5
78,Darius Miller,203,102,7.3,1.7,1.5,0.6,0.4,0.372,0.336,55,60,60,21,SF,Pelicans,3
79,Wesley Johnson,200,97.5,3.8,2.3,0.7,0.4,0.3,0.336,0.380,54,60,60,33,PG,Pelicans,3
80,E'Twaun Moore,193,86.6,12.4,2.5,2.1,0.8,0.2,0.450,0.359,77,82,80,55,PG,Pelicans,5
81,Tim Frazier,185,77.1,4.6,2.7,4,0.5,0.1,0.356,0.261,66,66,66,10,PG,Pelicans,4
82,Solomon Hill,200,102,3.9,3.2,1.2,0.6,0.3,0.381,0.231,57,66,65,44,SF,Pelicans,3
83,Jahlil Okafor,210,124.7,5.8,3.5,0.4,0.2,0.5,0.439,0.000,56,55,55,8,C,Pelicans,3
84,Elfrid Payton,193,83.9,10,3.7,5.9,1.2,0.2,0.424,0.386,68,77,74,4,PG,Pelicans,4
85,Jrue Holiday,193,93,21,4.8,8.2,1.7,0.8,0.486,0.301,88,83,84,11,PG,Pelicans,6
86,Nikola Mirotic,208,113.4,16.7,8.3,1.1,0.7,0.8,0.411,0.321,78,78,78,3,PF,Pelicans,5
87,Julius Randle,205,113.4,19.9,9.3,3,0.6,0.6,0.538,0.228,80,80,80,30,PF,Pelicans,5
88,Anthony Davis,208,114.7,29.3,13.3,4.4,1.7,2.6,0.499,0.293,91,86,97,23,PF,Pelicans,7
89,Austin Rivers,193,90.7,7.2,2.4,2,0.6,0.3,0.369,0.270,67,64,63,25,SG,Rockets,3
90,Eric Gordon,193,97.5,16.3,2.6,2.1,0.6,0.4,0.383,0.300,79,79,78,10,SG,Rockets,5
91,Gerald Green,200,93,9.2,2.8,0.6,0.4,0.4,0.378,0.329,66,60,64,14,SG,Rockets,3
92,James Ennis III,200,95.2,7.2,2.8,0.6,0.9,0.4,0.465,0.261,67,60,66,8,SF,Rockets,4
93,Nene,210,113.4,4,3.4,0.6,0.3,0.3,0.511,0.000,58,65,63,42,C,Rockets,3
94,Danuel House Jr.,200,99.8,9,3.6,1,0.6,0.4,0.438,0.356,65,66,64,4,SF,Rockets,3
95,Kenneth Faried,203,99.8,5.1,3.7,0.2,0.2,0.3,0.514,0.050,55,60,62,35,SF,Rockets,3
96,Chris Paul,182,79.4,15.6,4,8,2.1,0.3,0.404,0.313,88,86,93,3,PG,Rockets,7
97,Carmelo Anthony,203,108.8,13.4,5.4,0.5,0.4,0.7,0.386,0.275,85,78,86,0,SF,Rockets,6
98,PJ Tucker,198,111.1,8.2,6.3,1.3,1.5,0.4,0.412,0.378,65,76,70,17,SG,Rockets,4
99,James Harden,195,99.8,36.2,6.5,8.2,2.1,0.7,0.444,0.377,92,79,93,13,SG,Rockets,7
100,Clint Capela,208,108.8,17.6,12.6,1.5,0.6,1.8,0.640,0.000,77,81,86,15,C,Rockets,6
101,Marco Belinelli,195,95.2,10.9,2.3,1.9,0.5,0.1,0.403,0.342,73,60,73,18,PG,Spurs,4
102,Patty Mills,182,81.6,9.4,2.4,2.9,0.7,0.2,0.415,0.390,68,65,70,8,SG,Spurs,4
103,Bryn Forbes,190,86.2,12.1,2.9,2.2,0.6,0,0.457,0.427,77,60,66,11,PG,Spurs,4
104,Derrick White,193,86.2,9,3.3,3.6,1,0.5,0.444,0.300,64,64,64,4,SG,Spurs,3
105,Davis Bertans,208,103,7.7,3.5,1.1,0.5,0.5,0.498,0.464,60,60,60,42,SF,Spurs,3
106,Dante Cunningham,203,104.3,3.5,3.7,1,0.5,0.3,0.396,0.226,53,60,58,33,SF,Spurs,3
